id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties,golsInter,golsAdversario
10290,1991_RS,Gauchão 1991,Gauchão,,,334,BR,ESTADIO MUNICIPAL SILVIO FARIA CORREA - SÃO GABRIEL,,317,SÃO GABRIEL,S,1,,1,Internacional,X,2,,,1991-06-07,0,2025-08-12,Perin,Vitória,,2,1
10291,AMISTOSO,Amistoso,Amistoso,,,389,BR,HERIBERTO HULSE,,226,CRICIUMA,S,3,,1,Internacional,X,1,,,1991-06-11,0,2025-08-12,Perin,Derrota,,1,3
10292,AMISTOSO,Amistoso,Amistoso,,,496,BR,SANTA ROSA,,119,Novo Hamburgo,S,0,,1,Internacional,X,1,,,1991-06-13,0,2025-08-12,Perin,Vitória,,1,0
10293,AMISTOSO,Amistoso,Amistoso,,,392,BR,IGREJINHA,,434,IGREJINHA,S,0,,1,Internacional,X,4,,,1991-06-16,0,2025-08-12,Perin,Vitória,,4,0
10294,AMISTOSO,Amistoso,Amistoso,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,189,AIMORÉ,S,0,,,1991-06-23,0,2025-08-12,Perin,Vitória,,1,0
10295,AMISTOSO,Amistoso,Amistoso,,,288,BR,DEFENSORES DEL CHACO,,542,SELEÇÃO DO PARAGUAI,S,1,,1,Internacional,X,1,,,1991-06-27,0,2025-08-12,Perin,Derrota,,1,1
10296,INDEFINIDO,Indefinido,Indefinido,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,258,GUARANI DE VENÂNCIO AIRES,S,0,,,1991-06-30,0,2025-08-12,Perin,Vitória,,1,0
10297,INDEFINIDO,Indefinido,Indefinido,,,136,BR,Estádio Olímpico Colosso da Lagoa,,352,YPIRANGA DE ERECHIM,S,0,,1,Internacional,X,1,,,1991-07-03,0,2025-08-12,Perin,Vitória,,1,0
10298,INDEFINIDO,Indefinido,Indefinido,,,55,BR,Estádio Francisco Stédile,,580,CAXIAS,S,0,,1,Internacional,X,1,,,1991-07-07,0,2025-08-12,Perin,Vitória,,1,0
10299,INDEFINIDO,Indefinido,Indefinido,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,0,,580,CAXIAS,S,0,,,1991-07-14,0,2025-08-12,Perin,Empate,,0,0
10300,INDEFINIDO,Indefinido,Indefinido,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,0,,352,YPIRANGA DE ERECHIM,S,0,,,1991-07-17,0,2025-08-12,Perin,Empate,,0,0
10301,INDEFINIDO,Indefinido,Indefinido,,,531,BR,VENÂNCIO AIRES,,258,GUARANI DE VENÂNCIO AIRES,S,0,,1,Internacional,X,1,,,1991-07-20,0,2025-08-12,Perin,Vitória,,1,0
10302,INDEFINIDO,Indefinido,Indefinido,,,,,,,153,São Luiz,S,0,,1,Internacional,X,0,,,1991-07-28,0,2025-08-12,Perin,Derrota,,0,0
10303,INDEFINIDO,Indefinido,Indefinido,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,153,São Luiz,S,0,,,1991-08-04,0,2025-08-12,Perin,Vitória,,2,0
10304,1991_RS,Gauchão 1991,Gauchão,,,378,BR,GETÚLIO VARGAS,,552,TAGUÁ,S,1,,1,Internacional,X,3,,,1991-08-11,0,2025-08-12,Perin,Vitória,,3,1
10305,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,6,,295,PASSO FUNDO,S,1,,,1991-08-18,0,2025-08-12,Perin,Vitória,,6,1
10306,INDEFINIDO,Indefinido,Indefinido,,,304,BR,ESPANHA,,472,OLIMPIQUE DE MARSELHA,S,2,,1,Internacional,X,1,,,1991-08-20,0,2025-08-12,Perin,Derrota,,1,2
10307,INDEFINIDO,Indefinido,Indefinido,,,304,BR,ESPANHA,,487,RAPID DE VIENA,S,0,,1,Internacional,X,2,,,1991-08-21,0,2025-08-12,Perin,Vitória,,2,0
10308,AMISTOSO,Amistoso,Amistoso,,,304,BR,ESPANHA,,489,REAL VALLADOLID,S,2,,1,Internacional,X,2,,,1991-08-24,0,2025-08-12,Perin,Derrota,,2,2
10309,1991_RS,Gauchão 1991,Gauchão,,,516,BR,TABA ÍNDIA,,256,GUARANI DE CRUZ ALTA,S,1,,1,Internacional,X,1,,,1991-08-28,0,2025-08-12,Perin,Derrota,,1,1
10310,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,213,BRASIL DE PELOTAS,S,0,,,1991-09-01,0,2025-08-12,Perin,Vitória,,2,0
10311,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,247,GLÓRIA DE VACARIA,S,0,,,1991-09-04,0,2025-08-12,Perin,Vitória,,2,0
10312,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,119,Novo Hamburgo,S,1,,,1991-09-11,0,2025-08-12,Perin,Empate,,1,1
10313,1991_RS,Gauchão 1991,Gauchão,,,531,BR,VENÂNCIO AIRES,,258,GUARANI DE VENÂNCIO AIRES,S,1,,1,Internacional,X,0,,,1991-09-15,0,2025-08-12,Perin,Derrota,,0,1
10314,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,271,LAJEADENSE,S,0,,,1991-09-18,0,2025-08-12,Perin,Vitória,,1,0
10315,1991_RS,Gauchão 1991,Gauchão,,,,,,,319,SÃO PAULO DE RIO GRANDE,S,1,,1,Internacional,X,2,,,1991-09-29,0,2025-08-12,Perin,Vitória,,2,1
10316,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,352,YPIRANGA DE ERECHIM,S,1,,,1991-10-02,0,2025-08-12,Perin,Empate,,1,1
10317,1991_RS,Gauchão 1991,Gauchão,,,55,BR,Estádio Francisco Stédile,,580,CAXIAS,S,1,,1,Internacional,X,1,,,1991-10-06,0,2025-08-12,Perin,Derrota,,1,1
10318,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,588,PELOTAS,S,1,,,1991-10-09,0,2025-08-12,Perin,Empate,,1,1
10319,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,3,,231,DINAMO DE SANTA ROSA,S,0,,,1991-10-13,0,2025-08-12,Perin,Vitória,,3,0
10320,1991_RS,Gauchão 1991,Gauchão,,,,,,,36,Santa Cruz,S,0,,1,Internacional,X,0,,,1991-10-16,0,2025-08-12,Perin,Derrota,,0,0
10321,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,3,,82,Esportivo,S,0,,,1991-10-20,0,2025-08-12,Perin,Vitória,,3,0
10322,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,4,,153,São Luiz,S,1,,,1991-10-23,0,2025-08-12,Perin,Vitória,,4,1
10323,1991_RS,Gauchão 1991,Gauchão,,,283,BR,CRISTO REI,,189,AIMORÉ,S,1,,1,Internacional,X,2,,,1991-10-31,0,2025-08-12,Perin,Vitória,,2,1
10324,1991_RS,Gauchão 1991,Gauchão,,,,,,,29,Juventude,M,1,,1,Internacional,X,2,,,1991-11-08,0,2025-08-12,Perin,Vitória,,2,1
10325,1991_RS,Gauchão 1991,Gauchão,,,531,BR,VENÂNCIO AIRES,,258,GUARANI DE VENÂNCIO AIRES,S,1,,1,Internacional,X,2,,,1991-11-10,0,2025-08-12,Perin,Vitória,,2,1
10326,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,213,BRASIL DE PELOTAS,S,1,,,1991-11-13,0,2025-08-12,Perin,Vitória,,2,1
10327,1991_RS,Gauchão 1991,Gauchão,,,,,,,29,Juventude,M,1,,1,Internacional,X,1,,,1991-11-17,0,2025-08-12,Perin,Derrota,,1,1
10328,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,29,Juventude,M,0,,,1991-11-21,0,2025-08-12,Perin,Vitória,,1,0
10329,1991_RS,Gauchão 1991,Gauchão,,,247,BR,BENTO FREITAS,,213,BRASIL DE PELOTAS,S,1,,1,Internacional,X,1,,,1991-11-24,0,2025-08-12,Perin,Derrota,,1,1
10330,1991_RS,Gauchão 1991,Gauchão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,258,GUARANI DE VENÂNCIO AIRES,S,0,,,1991-11-27,0,2025-08-12,Perin,Vitória,,2,0
10331,AMISTOSO,Amistoso,Amistoso,,,266,BR,CAPÃO DA CANOA,,380,CAPÃO DA CANOA,S,2,,1,Internacional,X,0,,,1992-01-19,0,2025-08-12,Perin,Derrota,,0,2
10332,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,0,,3,RB Bragantino,M,1,,,1992-01-24,0,2025-08-12,Perin,Derrota,,0,1
10333,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,4,,4,Palmeiras,X,1,,,1992-02-01,0,2025-08-12,Perin,Vitória,,4,1
10334,1992_BR,Brasileirão 1992,Brasileirão,,,264,BR,CANINDÉ,,301,PORTUGUESA DE DESPORTOS,S,1,,1,Internacional,X,1,,,1992-02-09,0,2025-08-12,Perin,Derrota,,1,1
