id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties
70,2011_BR,Brasileirão 2011,Brasileirão,5,5,2,BR,Allianz Parque,12138,4,Palmeiras,X,5,,27,Avaí FC,M,0,,,2011-06-19,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
71,2011_BR,Brasileirão 2011,Brasileirão,7,7,2,BR,Allianz Parque,9450,4,Palmeiras,X,2,,22,Atlético-GO,M,0,,,2011-06-30,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
72,2011_BR,Brasileirão 2011,Brasileirão,9,9,2,BR,Allianz Parque,16751,4,Palmeiras,X,3,,16,Santos FC,X,0,,,2011-07-10,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
73,2011_BR,Brasileirão 2011,Brasileirão,10,10,2,BR,Allianz Parque,33575,4,Palmeiras,X,0,,5,Flamengo,X,0,,,2011-07-20,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
74,2011_BR,Brasileirão 2011,Brasileirão,15,15,2,BR,Allianz Parque,15762,4,Palmeiras,X,0,,7,Grêmio,X,0,,,2011-08-06,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
75,2011_BR,Brasileirão 2011,Brasileirão,17,17,2,BR,Allianz Parque,6266,4,Palmeiras,X,1,,15,EC Bahia,M,1,,,2011-08-18,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
76,2011_BR,Brasileirão 2011,Brasileirão,21,21,2,BR,Allianz Parque,10345,4,Palmeiras,X,1,,13,Cruzeiro,X,1,,,2011-09-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
77,2011_BR,Brasileirão 2011,Brasileirão,25,25,2,BR,Allianz Parque,6629,4,Palmeiras,X,1,,21,Ceará SC,M,0,,,2011-09-22,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
78,2011_BR,Brasileirão 2011,Brasileirão,37,37,2,BR,Allianz Parque,18364,4,Palmeiras,X,1,,11,São Paulo,X,0,,,2011-11-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
79,2011_BR,Brasileirão 2011,Brasileirão,9,9,157,BR,Estádio Serra Dourada,19150,22,Atlético-GO,M,0,,14,Corinthians,X,1,,,2011-07-10,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
80,2011_BR,Brasileirão 2011,Brasileirão,12,12,157,BR,Estádio Serra Dourada,5593,22,Atlético-GO,M,2,,13,Cruzeiro,X,0,,,2011-07-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
81,2011_BR,Brasileirão 2011,Brasileirão,1,1,75,BR,Estádio Jornalista Mário Filho,5973,5,Flamengo,X,4,,27,Avaí FC,M,0,,,2011-05-21,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
82,2011_BR,Brasileirão 2011,Brasileirão,5,5,75,BR,Estádio Jornalista Mário Filho,20429,5,Flamengo,X,0,,2,Botafogo,M,0,,,2011-06-19,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
83,2011_BR,Brasileirão 2011,Brasileirão,6,6,75,BR,Estádio Jornalista Mário Filho,16870,5,Flamengo,X,4,,8,Atlético-MG,X,1,,,2011-06-25,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
84,2011_BR,Brasileirão 2011,Brasileirão,8,8,75,BR,Estádio Jornalista Mário Filho,18418,5,Flamengo,X,1,,11,São Paulo,X,0,,,2011-07-06,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
85,2011_BR,Brasileirão 2011,Brasileirão,11,11,75,BR,Estádio Jornalista Mário Filho,6154,5,Flamengo,X,1,,21,Ceará SC,M,1,,,2011-07-23,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
86,2011_BR,Brasileirão 2011,Brasileirão,13,13,75,BR,Estádio Jornalista Mário Filho,28793,5,Flamengo,X,2,,7,Grêmio,X,0,,,2011-07-30,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
87,2011_BR,Brasileirão 2011,Brasileirão,15,15,75,BR,Estádio Jornalista Mário Filho,28930,5,Flamengo,X,1,,19,Coritiba FC,M,0,,,2011-08-06,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
88,2011_BR,Brasileirão 2011,Brasileirão,28,28,75,BR,Estádio Jornalista Mário Filho,25513,5,Flamengo,X,3,,9,Fluminense,M,2,,,2011-10-09,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
89,2011_BR,Brasileirão 2011,Brasileirão,29,29,75,BR,Estádio Jornalista Mário Filho,22573,5,Flamengo,X,1,,4,Palmeiras,X,1,,,2011-10-12,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
90,2011_BR,Brasileirão 2011,Brasileirão,31,31,75,BR,Estádio Jornalista Mário Filho,18257,5,Flamengo,X,1,,16,Santos FC,X,1,,,2011-10-23,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
91,2011_BR,Brasileirão 2011,Brasileirão,37,37,75,BR,Estádio Jornalista Mário Filho,12911,5,Flamengo,X,1,,1,Internacional,X,0,,,2011-11-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
92,2011_BR,Brasileirão 2011,Brasileirão,4,4,39,BR,Estádio Cícero Pompeu de Toledo,14681,11,São Paulo,X,3,,7,Grêmio,X,1,,,2011-06-11,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
93,2011_BR,Brasileirão 2011,Brasileirão,6,6,157,BR,Estádio Serra Dourada,11959,22,Atlético-GO,M,0,,18,Vasco da Gama,M,1,,,2011-06-26,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
94,2011_BR,Brasileirão 2011,Brasileirão,7,7,144,BR,Estádio Orlando Scarpelli,5322,31,Figueirense FC,M,2,,16,Santos FC,X,1,,,2011-06-29,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
95,2011_BR,Brasileirão 2011,Brasileirão,8,8,121,BR,Estádio Municipal Paulo Machado de Carvalho,28453,14,Corinthians,X,2,,18,Vasco da Gama,M,1,,,2011-07-06,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
96,2011_BR,Brasileirão 2011,Brasileirão,9,9,144,BR,Estádio Orlando Scarpelli,8423,31,Figueirense FC,M,1,,21,Ceará SC,M,1,,,2011-07-10,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
