#,Data,PenaltisMandante,Mandante,GolsMandante,GolsVisitante,Visitante,PenaltisVisitante,Competicao,Estadio,Cidade,Arbitro,ArbitroLocal,Gol1,Gol2,Gol3,Gol4,Gol5,Gol6,Gol7,Gol8,Gol9,Gol10,Gol11,Tecnico Gremio,Tecnico Inter
436,19/03/2022,,Internacional,0,3,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Jean Pierre de Lima,SIM,Elias,Bitello,Diego Souza,,,,,,,,,Roger Machado,Alexander Medina
437,23/03/2022,,Grêmio,0,1,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Leandro Vuaden,SIM,Taison,,,,,,,,,,,Roger Machado,Alexander Medina
438,05/03/2023,,Grêmio,2,1,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Leandro Vuaden,SIM,Vina,Alan Patrick,Carballo,,,,,,,,,Renato Portaluppi,Mano Menezes
439,21/05/2023,,Grêmio,3,1,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,Flávio Rodrigues de Souza,SIM,Luís Suárez,Villasanti,Bitello,Johnny,,,,,,,,Renato Portaluppi,Mano Menezes
440,08/10/2023,,Internacional,3,2,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Paulo Cesar Zanovelli,NÃO,Enner Valência,Wanderson,João Pedro,Alan Patrick,Luís Suárez,,,,,,,Renato Portaluppi,Eduardo Coudet
441,25/02/2024,,Internacional,3,2,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Anderson Daronco,SIM,Renê (contra),Maurício,Villasanti,Lucas Alário,Alan Patrick,,,,,,,Renato Portaluppi,Eduardo Coudet
442,22/06/2024,,Grêmio,0,1,Internacional,,Campeonato Brasileiro,Couto Pereira,Curitiba,Ramon Abatti Abel,NÃO,Gustavo Martins (contra),,,,,,,,,,,Renato Portaluppi,Eduardo Coudet
443,19/10/2024,,Internacional,1,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Bruno Arleu,NÃO,Rafael Borré,,,,,,,,,,,Renato Portaluppi,Roger Machado
444,08/02/2025,,Grêmio,1,1,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Rafael Klein,SIM,Braithwaite,Fernando,,,,,,,,,,Gustavo Quinteros,Roger Machado
445,08/03/2025,,Grêmio,0,2,Internacional,,Gauchão,Arena do Grêmio,Porto Alegre,Ramon Abatti Abel,NÃO,Carbonero,Alan Patrick,,,,,,,,,,Gustavo Quinteros,Roger Machado
446,16/03/2025,,Internacional,1,1,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Marcelo de Lima Henrique,NÃO,Enner Valência,Wágner Leonardo,,,,,,,,,,Renato Portaluppi,Eduardo Coudet
447,19/04/2025,,Grêmio,1,1,Internacional,,Campeonato Brasileiro,Arena do Grêmio,Porto Alegre,,,,,,,,,,,,,,,
